,zip_code,num_solar_panels,jul_jan_ghi_diff
172,01537,30.0,175.16425261743063
173,01540,146.0,175.58369347121464
174,01541,42.0,175.60159292919207
175,01542,14.0,175.82504775042446
176,01543,112.0,176.4730593284286
177,01545,73.0,175.49764981450042
178,01550,106.0,175.8133754244482
179,01560,26.0,175.03196330880962
180,01562,117.0,176.75419822820078
181,01564,132.0,175.1624676610882
182,01566,68.0,176.5115190530089
183,01568,100.0,176.5695520302773
184,01569,168.0,175.58911054518018
185,01570,130.0,175.18914031550653
186,01571,146.0,175.4577288161753
187,01581,182.0,176.5432229767968
188,01583,17.0,175.3720067558008
189,01585,10.0,179.39159973444777
190,01588,79.0,175.9941234133721
191,01590,102.0,175.76421085281444
192,01602,127.0,177.5146788341822
193,01603,81.0,177.3914827391058
194,01604,166.0,175.42477244859458
195,01605,136.0,177.04562818336166
196,01606,176.0,176.74411431805325
197,01607,42.0,176.30037669779279
198,01608,13.0,178.64211941143174
199,01609,72.0,178.07752369835882
200,01610,50.0,177.9799919826448
201,01611,25.0,176.97823818619133
202,01612,25.0,177.26645178975664
203,01701,387.0,176.42126485568758
204,01702,191.0,176.69154640633843
205,01718,3.0,176.56833616298812
206,01719,38.0,176.58852692888132
207,01720,220.0,176.60424919826445
208,01721,192.0,176.95031597811732
209,01730,161.0,177.47711958828523
210,01731,10.0,178.2618138087153
211,01740,73.0,175.8363145767645
212,01741,92.0,176.90044162826416
213,01742,524.0,176.93539544425585
214,01745,1.0,176.2093413978495
215,01746,137.0,176.86049408916563
216,01747,58.0,176.23131543576682
217,01748,160.0,177.23718220800137
218,01749,89.0,175.82755780580484
219,01752,328.0,176.32066419714982
220,01754,97.0,176.078399122807
221,01756,95.0,176.0004083706334
222,01757,259.0,176.49692275042446
223,01760,652.0,176.63778397606922
224,01770,73.0,176.95987195812114
225,01772,134.0,176.7526740237691
226,01773,72.0,177.80012026032824
227,01775,82.0,176.10612531833613
228,01776,175.0,176.28481761588728
229,01778,294.0,176.7464735427278
230,01801,437.0,177.72678798811543
231,01803,244.0,177.57190418081495
232,01810,347.0,177.36516694963206
233,01821,630.0,176.999600311262
234,01824,273.0,176.96747826310644
235,01826,644.0,176.70440365025473
236,01827,46.0,174.64080676601895
237,01830,117.0,179.25608768785764
238,01832,129.0,179.12931080220716
239,01833,30.0,179.9590319043577
240,01834,28.0,179.78123231465764
241,01835,164.0,179.46381578947367
242,01840,30.0,178.256013016412
243,01841,123.0,177.97513440860212
244,01843,109.0,177.99220076400678
245,01844,430.0,178.32254527447654
246,01845,171.0,178.37813914827387
247,01850,34.0,177.14820316921336
248,01851,87.0,177.2024087436332
249,01852,414.0,177.14820316921336
250,01854,545.0,177.2024087436332
251,01860,20.0,179.40756932654213
252,01862,284.0,176.9604909451047
253,01863,67.0,176.1622276457272
254,01864,133.0,177.16336708707254
255,01867,134.0,177.00950881909074
256,01876,227.0,176.83028084323703
257,01879,339.0,175.34442400804875
258,01880,108.0,177.57888252216566
259,01886,216.0,176.04415547666827
260,01887,145.0,177.1489105829089
261,01890,174.0,178.60628183361632
262,01901,7.0,180.65488822863608
263,01902,122.0,180.82697545274476
264,01904,198.0,180.25592458970002
265,01905,140.0,179.58046830786643
266,01906,340.0,179.09200420405853
267,01907,139.0,181.71477964063385
268,01908,30.0,179.8718343237125
269,01913,104.0,180.73283195387666
270,01915,1377.0,182.72895002122243
271,01921,83.0,179.00047070218972
272,01922,23.0,181.1047031220524
273,01923,422.0,180.10837135681948
274,01929,171.0,184.04129085314094
275,01930,765.0,185.34610487135956
276,01938,460.0,182.12941925496852
277,01940,131.0,177.79286926994908
278,01944,71.0,183.92423599320884
279,01945,104.0,180.77769524618003
280,01949,68.0,178.62205244293528
281,01950,441.0,181.8436040959253
282,01951,235.0,181.96107750896056
283,01952,174.0,181.40679824561406
284,01960,263.0,179.53020656479907
285,01965,24.0,182.89915817770242
286,01966,78.0,186.05576777966425
287,01969,46.0,180.97352857951327
288,01970,329.0,181.66471420486695
289,01982,72.0,181.928390083632
290,01983,57.0,179.3785134880211
291,01984,55.0,182.0442942032501
292,01985,79.0,180.44613928975664
293,02019,240.0,175.85324309878638
294,02020,0.0,179.5539756649689
295,02021,170.0,178.66912050792305
296,02025,126.0,178.68316709111488
297,02026,362.0,178.27273324440128
298,02030,57.0,176.9395436395649
299,02032,30.0,177.639669991511
300,02035,168.0,176.5335235490159
301,02038,293.0,175.56583899264285
302,02043,114.0,178.9677914544426
303,02045,54.0,174.94903084323713
304,02047,0.0,178.24823146576117
305,02048,50.0,175.2819963214488
306,02050,597.0,180.4842382786992
307,02052,59.0,176.74152114156362
308,02053,172.0,176.4221188050772
309,02054,82.0,176.7081918505943
310,02056,90.0,176.36466586493117
311,02061,100.0,179.99201683644594
312,02062,90.0,178.39116440294282
313,02066,107.0,179.55731819468022
314,02067,154.0,177.5204415349789
315,02071,11.0,177.31092600452746
316,02072,220.0,178.06373089983023
317,02081,109.0,177.16602356330708
318,02090,102.0,178.14663359507637
319,02093,103.0,175.9852121062064
320,02108,12.0,180.4587135681947
321,02109,8.0,180.87942133559702
322,02110,13.0,180.87942133559702
323,02111,15.0,179.69482173174873
324,02113,7.0,182.34426287492926
325,02114,44.0,180.80675815883797
326,02115,57.0,178.96342671194114
327,02116,57.0,179.97506366723258
328,02118,69.0,179.69482173174873
329,02119,86.0,178.8150732173175
